Date,Open,High,Low,Close
2014-06-11,9820.68,9891.69,9730.11,9751.15
2014-06-12,9786.42,9801.56,9712.75,9783.37
2014-06-13,9817.83,9825.06,9579.83,9606.41
2014-06-16,9609.97,9624.94,9503.64,9610.51
2014-06-17,9617.13,9751.07,9596.87,9744.31
2014-06-18,9764.39,9805.9,9599.25,9656.27
2014-06-19,9690.03,9729.43,9584.53,9622.39
2014-06-20,9637.25,9656.54,9563.28,9582.66
2014-06-23,9595.36,9630.94,9527.54,9579.93
2014-06-24,9609.22,9719.63,9609.22,9702.21
2014-06-25,9722.99,9726.94,9690.81,9702.95
2014-06-26,9686.4,9713.8,9615.13,9627.54
2014-06-27,9653.21,9691.3,9613.64,9651.9
2014-06-30,9682.01,9803.16,9681.73,9791.34
2014-07-01,9816.18,9858.83,9816.05,9836.17
2014-07-02,9886.38,9964.82,9886.36,9956
2014-07-03,9974.68,10004.95,9932.46,9942.65
2014-07-04,9955.77,9994.41,9886.66,9987.99
2014-07-07,10019.17,10042,9994.68,10023.56
2014-07-08,10046.99,10055.76,9723.56,9758.79
2014-07-09,9765.04,9795.86,9638.74,9681.35
2014-07-10,9706.69,9888.95,9534.74,9690.62
2014-07-11,9727.34,9764.61,9491.02,9509.77
2014-07-14,9529.46,9540.78,9460.05,9511.16
2014-07-15,9546.52,9639.48,9534.87,9631.45
2014-07-16,9668.92,9770.67,9650.14,9754.4
2014-07-17,9760.8,9818.57,9751.58,9805.57
2014-07-18,9797.57,9837.88,9735.07,9809.49
2014-07-21,9852.8,9895.97,9824.99,9836.34
2014-07-22,9865.61,9923.3,9862.51,9916.87
2014-07-23,9949.76,9978.75,9875.37,9931.69
2014-07-24,9941.67,9968.25,9907.53,9960
2014-07-25,9965.69,9975.26,9822.65,9881.26
2014-07-28,9899.98,9901.13,9809.23,9835.37
2014-07-30,9841.45,9893.56,9789.31,9884.83
2014-07-31,9893.51,9907.51,9822.07,9831.51
2014-08-01,9777.94,9841.68,9694.19,9703.32
2014-08-04,9749.89,9813.17,9741.37,9802.28
2014-08-05,9829.97,9882.76,9760.76,9878.17
2014-08-06,9872.61,9893.61,9782.94,9798.36
2014-08-07,9800.9,9834.07,9747.79,9769.45
2014-08-08,9705.57,9705.57,9606.24,9637.9
2014-08-11,9688.82,9724.41,9680.06,9705.61
2014-08-12,9755.17,9821.94,9744.05,9814.14
2014-08-13,9810.47,9846.85,9725.31,9775.12
2014-08-14,9787.97,9863.35,9787.45,9857.33
2014-08-18,9865.67,9990.84,9855.45,9986.23
2014-08-19,10017.12,10053.72,10013.85,10042.31
2014-08-20,10067.32,10070.17,10019.98,10033.91
2014-08-21,10039.55,10107.72,10023.15,10059.79
2014-08-22,10080.19,10110.39,10066.54,10081.59
2014-08-25,10101.45,10145.51,10040.59,10051.77
2014-08-26,10029.63,10068.03,9985.07,10044.31
2014-08-27,10080.36,10110.71,10060.98,10086.44
2014-08-28,10108.67,10127.7,10078.83,10096.08
2014-09-01,10127.42,10227.18,10126.92,10220.22
2014-09-02,10233.37,10311.41,10232.79,10291.36
2014-09-03,10330.54,10372.95,10313.1,10343.89
2014-09-04,10344.73,10346.19,10261.6,10320.48
2014-09-05,10335.99,10365.44,10278.45,10321.39
2014-09-08,10364.58,10449.51,10364.58,10441.89
2014-09-09,10450.59,10460.64,10408.1,10446.2
2014-09-10,10435.02,10440.53,10372.14,10387.06
2014-09-11,10421.66,10437.03,10363.61,10406.35
2014-09-12,10426.05,10445.24,10397.23,10431.17
2014-09-15,10413.08,10413.08,10347.83,10378.28
2014-09-16,10391.91,10400.99,10165.65,10177.81
2014-09-17,10228.71,10251.83,10160.68,10222.02
2014-09-18,10224.68,10416.07,10187.79,10409.32
2014-09-19,10425.54,10478.05,10385.76,10402.83
2014-09-22,10379.88,10445.79,10344.88,10425.52
2014-09-23,10441.18,10457.45,10242.3,10252.09
2014-09-24,10269.15,10276.55,10135.46,10210.35
2014-09-25,10230.92,10233.27,10024.12,10062.89
2014-09-26,10050.43,10161.5,9972.19,10144.61
2014-09-29,10170.14,10205.78,10127.93,10162.47
2014-09-30,10168.2,10259.95,10125.67,10173.26
2014-10-01,10189.01,10202.26,10138.84,10146.17
2014-10-07,10132.31,10160.04,10024.17,10033.41
